Time_days,Depth_m,Pressure_Head,FS
0.0,22.6196,-314.931,0.6127496313890545
0.0,22.6746,-314.481,0.6126957183529559
0.0,22.7296,-314.03,0.6126420662292346
0.0,22.7847,-313.58,0.6125885762848313
0.0,22.8397,-313.13,0.6125354408015461
0.0,22.8947,-312.68,0.6124825606132925
0.0,22.9498,-312.229,0.6124298384293603
0.0,23.0048,-311.779,0.612377463798173
0.0,23.0598,-311.329,0.612325339004774
0.0,23.1149,-310.878,0.6122733681692447
0.0,23.1699,-310.428,0.6122217381643145
0.0,23.225,-309.978,0.6121702594878937
0.0,23.28,-309.527,0.6121191172596395
0.0,23.335,-309.077,0.6120682161132412
0.0,23.3901,-308.627,0.6120174624527244
0.0,23.4451,-308.177,0.6119670388146583
0.0,23.5001,-307.726,0.6119168512011277
0.0,23.5552,-307.276,0.6118668073471933
0.0,23.6102,-306.826,0.6118170872598574
0.0,23.6652,-306.375,0.6117675982802073
0.0,23.7203,-305.925,0.6117182494459913
0.0,23.7753,-305.475,0.6116692182867018
0.0,23.8303,-305.025,0.611620413453876
0.0,23.8854,-304.574,0.6115717452604054
0.0,23.9404,-304.124,0.6115233888089155
0.0,23.9954,-303.674,0.6114752540336497
0.0,24.0505,-303.223,0.6114272524958743
0.0,24.1055,-302.773,0.611379556920624
0.0,24.1605,-302.323,0.6113320784978862
0.0,24.2156,-301.872,0.6112847300112804
0.0,24.2706,-301.422,0.6112376818562062
0.0,24.3256,-300.972,0.6111908464521868
0.0,24.3807,-300.522,0.6111441377798955
0.0,24.4357,-300.071,0.6110977239517746
0.0,24.4908,-299.621,0.6110514347706634
0.0,24.5458,-299.171,0.6110054368519028
0.0,24.6008,-298.72,0.6109596446082045
0.0,24.6559,-298.27,0.610913973961222
0.0,24.7109,-297.82,0.6108685893184214
0.0,24.7659,-297.37,0.6108234062556439
0.0,24.821,-296.919,0.6107783418274703
0.0,24.876,-296.469,0.6107335582769623
0.0,24.931,-296.019,0.6106889723194335
0.0,24.9861,-295.568,0.6106445021195294
0.0,25.0411,-295.118,0.6106003077982538
0.0,25.0961,-294.668,0.610556307187369
0.0,25.1512,-294.217,0.6105124195393425
0.0,25.2062,-293.767,0.6104688028943669
0.0,25.2613,-293.317,0.6104252973928094
0.0,25.3163,-292.867,0.6103820597096358
0.0,25.3713,-292.416,0.6103390094880882
0.0,25.4264,-291.966,0.6102960677460479
0.0,25.4814,-291.516,0.610253389144089
0.0,25.5364,-291.066,0.6102108943834788
0.0,25.5915,-290.615,0.6101685055134419
0.0,25.6465,-290.165,0.6101263752186585
0.0,25.7015,-289.715,0.6100844252375701
0.0,25.7566,-289.264,0.6100425786305796
0.0,25.8116,-288.814,0.610000986144
0.0,25.8666,-288.364,0.6099595705331411
0.0,25.9217,-287.914,0.6099182558499453
0.0,25.9767,-287.463,0.6098771909389415
0.0,26.0317,-287.013,0.6098362995525334
0.0,26.0868,-286.563,0.609795506715069
0.0,26.1418,-286.112,0.609754959404966
0.0,26.1969,-285.662,0.6097145090940428
0.0,26.2519,-285.212,0.6096743015356529
0.0,26.3069,-284.762,0.6096342621016494
0.0,26.362,-284.311,0.6095943173960573
0.0,26.417,-283.861,0.6095546113636272
0.0,26.472,-283.411,0.6095150703230213
0.0,26.5271,-282.96,0.6094756218020064
0.0,26.5821,-282.51,0.6094364079701032
0.0,26.6371,-282.06,0.6093973560748039
0.0,26.6922,-281.609,0.6093583945502109
0.0,26.7472,-281.159,0.6093196638231747
0.0,26.8022,-280.709,0.6092810920524919
0.0,26.8573,-280.259,0.6092426085616305
0.0,26.9123,-279.808,0.6092043520665406
0.0,26.9674,-279.358,0.6091661824882392
0.0,27.0224,-278.908,0.6091282374190087
0.0,27.0774,-278.457,0.6090904464989066
0.0,27.1325,-278.007,0.6090527404972811
0.0,27.1875,-277.557,0.6090152553467791
0.0,27.2425,-277.107,0.6089779215541392
0.0,27.2976,-276.656,0.608940670734849
0.0,27.3526,-276.206,0.6089036371917
0.0,27.4076,-275.756,0.6088667522821324
0.0,27.4627,-275.305,0.6088299484522919
0.0,27.5177,-274.855,0.6087933584041847
0.0,27.5727,-274.405,0.608756914330367
0.0,27.6278,-273.954,0.6087205494925361
0.0,27.6828,-273.504,0.6086843950203005
0.0,27.7379,-273.054,0.6086483185814701
0.0,27.7929,-272.604,0.6086124502725168
0.0,27.8479,-272.153,0.608576723644408
0.0,27.903,-271.703,0.6085410732856716
0.0,27.958,-271.253,0.608505627766227
0.0,28.013,-270.802,0.6084703214324153
0.0,28.0681,-270.352,0.6084350896497885
0.0,28.1231,-269.902,0.6084000594883675
0.0,28.1781,-269.452,0.6083651660756185
0.0,28.2332,-269.001,0.608330345540299
0.0,28.2882,-268.551,0.6082957234785686
0.0,28.3432,-268.101,0.6082612357851099
0.0,28.3983,-267.651,0.6082268193383936
0.0,28.4533,-267.2,0.6081925982861597
0.0,28.5084,-266.75,0.6081584474165007
0.0,28.5634,-266.3,0.6081244899251016
0.0,28.6184,-265.849,0.6080906629554664
0.0,28.6735,-265.399,0.6080569046066125
0.0,28.7285,-264.949,0.608023336666926
0.0,28.7835,-264.499,0.6079898970116163
0.0,28.8386,-264.048,0.6079565244549612
0.0,28.8936,-263.598,0.6079233394019757
0.0,28.9486,-263.148,0.6078902804468266
0.0,29.0037,-262.697,0.607857287106679
0.0,29.0587,-262.247,0.6078244784265662
0.0,29.1137,-261.797,0.6077917937071599
0.0,29.1688,-261.346,0.6077591731564247
0.0,29.2238,-260.896,0.6077267344822782
0.0,29.2788,-260.446,0.6076944176797299
0.0,29.3339,-259.996,0.6076621636357342
0.0,29.3889,-259.545,0.6076300887434486
0.0,29.444,-259.095,0.6075980756889457
0.0,29.499,-258.645,0.6075662400007932
0.0,29.554,-258.194,0.6075345228050848
0.0,29.6091,-257.744,0.6075028660950336
0.0,29.6641,-257.294,0.6074713841206217
0.0,29.7191,-256.844,0.6074400186711783
0.0,29.7742,-256.393,0.6074087123886988
0.0,29.8292,-255.943,0.6073775782656482
0.0,29.8842,-255.493,0.607346558743408
