t_hours,z_meters,psi_meters,t_norm,z_norm,psi_norm,source
1459.0,13.7008,-2.337,0.9047619047619048,0.24910545454545452,-0.9244213509683515,profile_snapshot
1457.0,4.9274,-0.463,0.8988095238095238,0.0895890909090909,-0.03920642418516773,profile_snapshot
1327.0,3.4782,-0.521,0.5119047619047619,0.06324,-0.06660368445914033,profile_snapshot
1455.0,4.3477,-0.475,0.8928571428571429,0.0790490909090909,-0.04487482286254141,profile_snapshot
1409.0,7.7294,-0.478,0.7559523809523809,0.14053454545454547,-0.04629192253188463,profile_snapshot
1381.0,5.4105,-0.513,0.6726190476190477,0.09837272727272726,-0.06282475200755788,profile_snapshot
1455.0,6.5216,-0.47,0.8928571428571429,0.11857454545454546,-0.04251299008030229,profile_snapshot
1417.0,6.9081,-0.497,0.7797619047619048,0.12560181818181818,-0.05526688710439298,profile_snapshot
1155.0,16.8787,-2.157,0.0,0.3068854545454545,-0.8393953708077468,profile_snapshot
1437.0,10.0415,-0.455,0.8392857142857143,0.18257272727272725,-0.03542749173358539,profile_snapshot
1239.0,18.7083,-2.064,0.25,0.3401509090909091,-0.7954652810581011,profile_snapshot
1485.0,7.3912,-0.472,0.9821428571428571,0.13438545454545456,-0.04345772319319796,profile_snapshot
1433.0,9.0785,-0.464,0.8273809523809523,0.16506363636363636,-0.03967879074161551,profile_snapshot
1333.0,17.5527,-2.129,0.5297619047619048,0.31914000000000003,-0.8261691072272084,profile_snapshot
1345.0,5.2173,-0.517,0.5654761904761905,0.09486,-0.06471421823334911,profile_snapshot
1471.0,9.1748,-0.477,0.9404761904761905,0.16681454545454544,-0.045819555975436965,profile_snapshot
1337.0,4.0579,-0.54,0.5416666666666666,0.07378,-0.07557864903164868,profile_snapshot
1481.0,7.3912,-0.475,0.9702380952380952,0.13438545454545456,-0.04487482286254141,profile_snapshot
1475.0,5.0241,-0.473,0.9523809523809523,0.09134727272727272,-0.04393008974964574,profile_snapshot
1413.0,4.0096,-0.448,0.7678571428571429,0.07290181818181818,-0.03212092583845072,profile_snapshot
